"","school","score","college","white","el","prop_college"
"116",76,313.14,1,1,0,0.818181818181818
"117",76,312.65,1,1,0,0.818181818181818
"118",76,322.05,1,1,0,0.818181818181818
"119",76,332.38,1,1,0,0.818181818181818
"120",76,332.59,0,0,0,0.818181818181818
"121",76,344.07,1,0,0,0.818181818181818
"122",76,277.73,1,1,0,0.818181818181818
"123",76,271.26,1,1,0,0.818181818181818
"124",76,340.25,1,1,0,0.818181818181818
"125",76,320.31,1,1,0,0.818181818181818
"126",76,341.48,0,1,0,0.818181818181818
"127",76,318.12,1,1,0,0.818181818181818
"128",76,335.65,1,1,0,0.818181818181818
"129",76,298.05,1,1,0,0.818181818181818
"130",78,257.06,0,0,0,0.0740740740740741
"131",78,259.98,0,0,0,0.0740740740740741
"132",78,251.26,0,0,0,0.0740740740740741
"133",78,228.13,0,0,0,0.0740740740740741
"134",78,260.72,0,0,0,0.0740740740740741
"135",78,236.03,0,0,1,0.0740740740740741
"136",78,225.25,0,0,0,0.0740740740740741
"137",78,279.16,0,0,0,0.0740740740740741
"138",78,280.24,0,0,0,0.0740740740740741
"139",78,306.12,0,0,0,0.0740740740740741
"140",78,295.81,0,0,0,0.0740740740740741
"141",78,306.25,0,0,0,0.0740740740740741
"142",78,281.8,0,0,0,0.0740740740740741
"143",78,280.81,0,1,0,0.0740740740740741
"144",78,260.33,1,0,0,0.0740740740740741
"145",78,246.15,0,0,0,0.0740740740740741
"146",78,286.72,0,0,0,0.0740740740740741
"147",78,298.69,0,0,0,0.0740740740740741
"148",78,178.12,0,0,1,0.0740740740740741
"149",78,217.36,0,0,0,0.0740740740740741
"150",78,236.05,0,0,0,0.0740740740740741
"151",78,313.93,0,1,0,0.0740740740740741
"152",78,264.76,0,0,0,0.0740740740740741
"153",78,307.88,0,0,0,0.0740740740740741
"154",78,246.97,0,0,0,0.0740740740740741
"155",78,247.84,1,0,0,0.0740740740740741
"156",78,277.06,0,0,0,0.0740740740740741
"157",134,282.79,1,1,0,0.409090909090909
"158",134,315.12,0,1,0,0.409090909090909
"159",134,303.88,1,0,0,0.409090909090909
"160",134,215.82,1,0,0,0.409090909090909
"161",134,311.23,0,1,0,0.409090909090909
"162",134,363.46,1,1,0,0.409090909090909
"163",134,338.16,0,1,0,0.409090909090909
"164",134,304.51,0,1,0,0.409090909090909
"165",134,281.21,1,1,0,0.409090909090909
"166",134,274.81,1,1,0,0.409090909090909
"167",134,261.6,0,1,0,0.409090909090909
"168",134,255.75,0,0,1,0.409090909090909
"169",134,243.52,0,1,0,0.409090909090909
"170",134,221.82,0,1,1,0.409090909090909
"171",134,255.62,0,1,0,0.409090909090909
"172",134,264.42,1,1,0,0.409090909090909
"173",134,316.78,0,1,0,0.409090909090909
"174",134,332.81,0,1,0,0.409090909090909
"175",134,294.91,1,1,0,0.409090909090909
"176",134,276.7,0,0,0,0.409090909090909
"177",134,306.69,1,1,0,0.409090909090909
"178",134,278.86,0,1,0,0.409090909090909
"179",135,272.86,0,0,0,0.583333333333333
"180",135,310.33,1,0,0,0.583333333333333
"181",135,245.43,0,1,0,0.583333333333333
"182",135,281.72,0,0,0,0.583333333333333
"183",135,337.55,1,1,0,0.583333333333333
"184",135,259.78,1,0,0,0.583333333333333
"185",135,271.66,1,0,0,0.583333333333333
"186",135,308.87,0,1,0,0.583333333333333
"187",135,308.5,1,1,0,0.583333333333333
"188",135,311.83,1,0,0,0.583333333333333
"189",135,278.9,1,1,0,0.583333333333333
"190",135,265.87,0,0,0,0.583333333333333
"191",135,320.52,1,1,0,0.583333333333333
"192",135,239.43,0,0,0,0.583333333333333
"193",135,368.4,1,1,0,0.583333333333333
"194",135,275.65,0,1,0,0.583333333333333
"195",135,261.21,0,1,0,0.583333333333333
"196",135,337.63,1,1,0,0.583333333333333
"197",135,312.71,1,1,0,0.583333333333333
"198",135,279.16,0,1,0,0.583333333333333
"199",135,311.99,1,1,0,0.583333333333333
"200",135,347.77,1,1,0,0.583333333333333
"201",135,249.47,0,0,0,0.583333333333333
"202",135,269.95,1,1,0,0.583333333333333
"203",148,272.43,0,0,0,0.5625
"204",148,295.17,1,0,0,0.5625
"205",148,336.55,1,0,0,0.5625
"206",148,332.2,1,1,0,0.5625
"207",148,323.76,1,0,0,0.5625
"208",148,219.05,0,0,0,0.5625
"209",148,324.88,1,1,0,0.5625
"210",148,294.17,1,1,0,0.5625
"211",148,315.09,1,1,0,0.5625
"212",148,235.39,0,0,0,0.5625
"213",148,318.01,1,1,0,0.5625
"214",148,282.94,0,0,0,0.5625
"215",148,320.23,0,0,0,0.5625
"216",148,283.57,0,0,0,0.5625
"217",148,291.7,0,0,0,0.5625
"218",148,282.64,1,0,0,0.5625
"219",246,258.95,0,0,1,0.304347826086957
"220",246,248,1,0,1,0.304347826086957
"221",246,240.94,0,0,0,0.304347826086957
"222",246,256.81,0,0,0,0.304347826086957
"223",246,214.39,1,1,0,0.304347826086957
"224",246,283.26,0,0,0,0.304347826086957
"225",246,250.06,0,0,0,0.304347826086957
"226",246,303.89,0,1,0,0.304347826086957
"227",246,202.42,0,1,0,0.304347826086957
"228",246,260.03,0,0,0,0.304347826086957
"229",246,273.5,0,1,0,0.304347826086957
"230",246,265.06,0,0,0,0.304347826086957
"231",246,212.01,1,1,0,0.304347826086957
"232",246,331.47,0,0,0,0.304347826086957
"233",246,286.42,0,0,1,0.304347826086957
"234",246,227.71,1,0,0,0.304347826086957
"235",246,315.93,0,1,0,0.304347826086957
"236",246,232.82,0,1,0,0.304347826086957
"237",246,218.25,1,0,1,0.304347826086957
"238",246,286.31,0,1,0,0.304347826086957
"239",246,246.78,1,0,0,0.304347826086957
"240",246,259.26,1,1,0,0.304347826086957
"241",246,230.26,0,0,0,0.304347826086957
"242",255,295.67,0,1,0,0.238095238095238
"243",255,285.57,1,0,1,0.238095238095238
"244",255,319.74,0,0,1,0.238095238095238
"245",255,298.75,0,0,0,0.238095238095238
"246",255,265.41,0,0,1,0.238095238095238
"247",255,276.71,0,0,1,0.238095238095238
"248",255,259.81,0,1,0,0.238095238095238
"249",255,246.78,0,0,1,0.238095238095238
"250",255,151.42,0,0,0,0.238095238095238
"251",255,218.78,0,0,0,0.238095238095238
"252",255,242.55,0,0,0,0.238095238095238
"253",255,232.04,1,0,1,0.238095238095238
"254",255,270.82,0,0,0,0.238095238095238
"255",255,237.95,0,1,0,0.238095238095238
"256",255,273.79,0,0,1,0.238095238095238
"257",255,252.85,1,0,0,0.238095238095238
"258",255,268.03,0,0,1,0.238095238095238
"259",255,282.5,0,0,0,0.238095238095238
"260",255,293.99,0,0,1,0.238095238095238
"261",255,255.04,1,0,0,0.238095238095238
"262",255,248.24,1,0,1,0.238095238095238
"263",257,276.9,1,1,0,0.416666666666667
"264",257,261.06,1,1,0,0.416666666666667
"265",257,264.01,0,0,0,0.416666666666667
"266",257,265.39,0,1,0,0.416666666666667
"267",257,282.64,1,1,0,0.416666666666667
"268",257,281.21,1,1,0,0.416666666666667
"269",257,225.75,0,1,0,0.416666666666667
"270",257,288.89,1,1,0,0.416666666666667
"271",257,245.19,1,1,0,0.416666666666667
"272",257,226.57,0,1,0,0.416666666666667
"273",257,224.48,0,0,0,0.416666666666667
"274",257,205.51,0,1,0,0.416666666666667
"275",257,261.94,0,1,0,0.416666666666667
"276",257,274.12,1,1,0,0.416666666666667
"277",257,301.72,0,0,0,0.416666666666667
"278",257,270.89,0,0,0,0.416666666666667
"279",257,241.14,1,1,0,0.416666666666667
"280",257,301.68,1,1,0,0.416666666666667
"281",257,321.97,1,1,0,0.416666666666667
"282",257,290.01,0,0,0,0.416666666666667
"283",257,257.35,0,1,0,0.416666666666667
"284",257,249.12,0,1,0,0.416666666666667
"285",257,263.61,0,1,0,0.416666666666667
"286",257,279.97,0,1,0,0.416666666666667
"287",285,277.08,0,0,0,0.25
"288",285,244.55,1,0,0,0.25
"289",285,244.43,0,0,0,0.25
"290",285,178.84,0,0,0,0.25
"291",286,352.48,1,0,0,0.653846153846154
"292",286,304.46,1,0,0,0.653846153846154
"293",286,343.67,1,1,0,0.653846153846154
"294",286,341.58,0,1,0,0.653846153846154
"295",286,297.41,0,1,0,0.653846153846154
"296",286,357.34,0,0,0,0.653846153846154
"297",286,319.75,0,0,0,0.653846153846154
"298",286,342.98,0,0,0,0.653846153846154
"299",286,294.95,1,1,0,0.653846153846154
"300",286,269.56,0,1,0,0.653846153846154
"301",286,274.87,0,0,0,0.653846153846154
"302",286,313.26,1,0,0,0.653846153846154
"303",286,321.19,0,1,0,0.653846153846154
"304",286,290.11,0,0,0,0.653846153846154
"305",286,311.32,1,1,0,0.653846153846154
"306",286,309.5,1,1,0,0.653846153846154
"307",286,363.42,1,0,0,0.653846153846154
"308",286,305.01,1,0,0,0.653846153846154
"309",286,288.23,1,1,0,0.653846153846154
"310",286,280.11,1,0,0,0.653846153846154
"311",286,349.31,1,0,0,0.653846153846154
"312",286,336.59,1,1,0,0.653846153846154
"313",286,304.41,1,1,0,0.653846153846154
"314",286,365.75,1,1,0,0.653846153846154
"315",286,329.31,1,0,0,0.653846153846154
"316",286,306.39,1,0,0,0.653846153846154
"317",315,259.02,0,1,0,0.4
"318",315,298.21,0,1,0,0.4
"319",315,304.8,0,1,0,0.4
"320",315,258.5,1,1,0,0.4
"321",315,235.42,1,1,0,0.4
"322",315,261.89,0,1,0,0.4
"323",315,288.45,1,1,0,0.4
"324",315,287.68,1,1,0,0.4
"325",315,295.62,0,1,0,0.4
"326",315,238.3,0,0,0,0.4
"327",315,279.11,1,1,0,0.4
"328",315,285.9,0,1,0,0.4
"329",315,271.4,0,1,0,0.4
"330",315,276.62,0,1,0,0.4
"331",315,276.22,0,1,0,0.4
"332",315,282.23,1,1,0,0.4
"333",315,300.22,1,1,0,0.4
"334",315,242.3,0,1,0,0.4
"335",315,259.4,0,0,0,0.4
"336",315,273.19,0,1,0,0.4
"337",315,269.76,0,0,0,0.4
"338",315,284.73,0,1,0,0.4
"339",315,285.45,1,1,0,0.4
"340",315,248.14,1,1,0,0.4
"341",315,248.29,1,1,0,0.4
"342",361,312.15,1,1,0,0.24
"343",361,283.79,1,1,0,0.24
"344",361,262.75,0,1,0,0.24
"345",361,257.59,0,1,0,0.24
"346",361,302.82,0,1,0,0.24
"347",361,272.47,1,1,0,0.24
"348",361,293.95,0,1,0,0.24
"349",361,296,0,1,0,0.24
"350",361,217.51,0,1,0,0.24
"351",361,249.04,0,1,0,0.24
"352",361,306.59,1,1,0,0.24
"353",361,281.42,1,1,0,0.24
"354",361,218.04,0,1,0,0.24
"355",361,268.2,0,1,0,0.24
"356",361,278.74,1,1,0,0.24
"357",361,290.98,0,1,0,0.24
"358",361,280.84,0,1,0,0.24
"359",361,263.89,0,1,0,0.24
"360",361,238.6,0,1,0,0.24
"361",361,285.17,0,1,0,0.24
"362",361,317.59,0,1,0,0.24
"363",361,291.85,0,1,0,0.24
"364",361,300.66,0,1,0,0.24
"365",361,282.42,0,1,0,0.24
"366",361,304.77,0,1,0,0.24
"367",367,262.1,0,1,0,0.285714285714286
"368",367,281.74,1,1,0,0.285714285714286
"369",367,283.1,0,1,0,0.285714285714286
"370",367,242.67,1,1,0,0.285714285714286
"371",367,326.32,0,1,0,0.285714285714286
"372",367,308.46,0,1,0,0.285714285714286
"373",367,240.72,0,1,0,0.285714285714286
"374",367,261.35,0,1,0,0.285714285714286
"375",367,252.46,0,1,0,0.285714285714286
"376",367,235.55,0,1,0,0.285714285714286
"377",367,277,1,0,0,0.285714285714286
"378",367,291.51,0,1,0,0.285714285714286
"379",367,209.12,0,0,0,0.285714285714286
"380",367,258.56,0,1,0,0.285714285714286
"381",367,244.55,0,1,0,0.285714285714286
"382",367,268.93,0,1,0,0.285714285714286
"383",367,256.89,0,1,0,0.285714285714286
"384",367,263.98,0,1,0,0.285714285714286
"385",367,266.09,0,1,0,0.285714285714286
"386",367,311.85,1,1,0,0.285714285714286
"387",367,283.24,1,1,0,0.285714285714286
"388",367,282.79,1,1,0,0.285714285714286
"389",367,289.49,1,1,0,0.285714285714286
"390",367,284.93,0,1,0,0.285714285714286
"391",367,248.62,0,1,0,0.285714285714286
"392",367,280.53,1,1,0,0.285714285714286
"393",367,245.28,0,0,0,0.285714285714286
"394",367,252.75,0,1,0,0.285714285714286
"395",405,285.02,0,1,0,0.344827586206897
"396",405,271.51,1,1,0,0.344827586206897
"397",405,271.09,0,1,0,0.344827586206897
"398",405,269.96,0,1,0,0.344827586206897
"399",405,253.83,1,1,0,0.344827586206897
"400",405,294.79,0,1,0,0.344827586206897
"401",405,260.65,0,1,0,0.344827586206897
"402",405,314.68,0,1,0,0.344827586206897
"403",405,281.46,1,1,0,0.344827586206897
"404",405,268.6,0,1,0,0.344827586206897
"405",405,313.81,0,1,0,0.344827586206897
"406",405,258.35,0,1,0,0.344827586206897
"407",405,331.1,1,1,0,0.344827586206897
"408",405,240.62,0,1,0,0.344827586206897
"409",405,292.68,1,1,0,0.344827586206897
"410",405,272.43,1,0,0,0.344827586206897
"411",405,303.51,1,1,0,0.344827586206897
"412",405,295.62,1,1,0,0.344827586206897
"413",405,311.3,0,1,0,0.344827586206897
"414",405,233.53,0,1,0,0.344827586206897
"415",405,284.54,1,1,0,0.344827586206897
"416",405,352.1,0,1,0,0.344827586206897
"417",405,253.11,0,1,0,0.344827586206897
"418",405,242.29,0,1,0,0.344827586206897
"419",405,243.39,1,1,0,0.344827586206897
"420",405,247.92,0,1,0,0.344827586206897
"421",405,247.1,0,1,0,0.344827586206897
"422",405,227.24,0,1,0,0.344827586206897
"423",405,280.57,0,1,0,0.344827586206897
"424",417,295.82,0,1,0,NA
"425",417,243.96,0,0,0,NA
"426",417,282.59,0,1,0,NA
"427",417,237.54,0,0,0,NA
"428",417,257.78,0,0,0,NA
"429",417,222.19,0,0,0,NA
"430",426,206.32,0,0,0,0.333333333333333
"431",426,221.43,0,0,0,0.333333333333333
"432",426,238.86,0,0,0,0.333333333333333
"433",426,220.58,0,0,0,0.333333333333333
"434",426,240.19,1,0,0,0.333333333333333
"435",426,268.46,0,0,0,0.333333333333333
"436",426,253.7,0,0,0,0.333333333333333
"437",426,224.8,1,0,0,0.333333333333333
"438",426,237.06,1,0,0,0.333333333333333
"439",426,229.68,1,0,0,0.333333333333333
"440",426,239.72,0,0,0,0.333333333333333
"441",426,234.8,0,0,0,0.333333333333333
"442",426,218.4,1,0,0,0.333333333333333
"443",426,195.18,0,0,0,0.333333333333333
"444",426,219.3,0,0,0,0.333333333333333
"445",438,255.23,0,0,0,0.208333333333333
"446",438,282.19,0,0,0,0.208333333333333
"447",438,274.01,1,0,0,0.208333333333333
"448",438,241.62,0,0,0,0.208333333333333
"449",438,246.09,0,0,0,0.208333333333333
"450",438,262.63,0,0,0,0.208333333333333
"451",438,251.04,0,0,0,0.208333333333333
"452",438,238.45,0,0,0,0.208333333333333
"453",438,263.33,1,0,0,0.208333333333333
"454",438,225.59,1,0,0,0.208333333333333
"455",438,227.2,0,0,0,0.208333333333333
"456",438,250.29,0,0,0,0.208333333333333
"457",438,317.78,0,0,0,0.208333333333333
"458",438,290.95,0,0,0,0.208333333333333
"459",438,224.56,1,0,0,0.208333333333333
"460",438,225.87,0,0,0,0.208333333333333
"461",438,217.2,0,0,0,0.208333333333333
"462",438,270.18,0,0,0,0.208333333333333
"463",438,253.3,0,0,0,0.208333333333333
"464",438,234.53,0,0,0,0.208333333333333
"465",438,265.09,1,0,0,0.208333333333333
"466",438,224.02,0,0,0,0.208333333333333
"467",438,234.93,0,0,0,0.208333333333333
"468",438,251.64,0,0,1,0.208333333333333
"469",477,270.27,1,1,0,0.344827586206897
"470",477,281.69,0,0,0,0.344827586206897
"471",477,292.9,0,1,0,0.344827586206897
"472",477,270.9,0,0,0,0.344827586206897
"473",477,246.75,0,1,0,0.344827586206897
"474",477,260.07,0,0,0,0.344827586206897
"475",477,305.42,1,1,0,0.344827586206897
"476",477,228.92,1,0,0,0.344827586206897
"477",477,284.17,0,0,0,0.344827586206897
"478",477,281.31,0,1,0,0.344827586206897
"479",477,292.49,1,1,0,0.344827586206897
"480",477,302.02,0,1,0,0.344827586206897
"481",477,303.02,0,1,0,0.344827586206897
"482",477,236.03,0,1,0,0.344827586206897
"483",477,284.14,0,1,0,0.344827586206897
"484",477,306.35,1,1,0,0.344827586206897
"485",477,282.95,0,1,0,0.344827586206897
"486",477,238.65,0,0,0,0.344827586206897
"487",477,274.94,0,1,0,0.344827586206897
"488",477,287.92,0,0,0,0.344827586206897
"489",477,298.15,0,1,0,0.344827586206897
"490",477,235.99,0,1,0,0.344827586206897
"491",477,293.79,0,1,0,0.344827586206897
"492",477,234.34,1,0,0,0.344827586206897
"493",477,296.96,1,1,0,0.344827586206897
"494",477,273.85,1,0,0,0.344827586206897
"495",477,268.47,1,1,0,0.344827586206897
"496",477,298.61,1,1,0,0.344827586206897
"497",477,285.95,0,1,0,0.344827586206897
"498",526,316.91,1,1,0,0.586206896551724
"499",526,300.37,1,0,0,0.586206896551724
"500",526,319.43,1,1,0,0.586206896551724
"501",526,299.43,0,1,0,0.586206896551724
"502",526,303.67,0,1,0,0.586206896551724
"503",526,344.37,1,1,0,0.586206896551724
"504",526,282.23,1,1,0,0.586206896551724
"505",526,284.37,0,1,0,0.586206896551724
"506",526,328.04,0,1,0,0.586206896551724
"507",526,317.64,1,1,0,0.586206896551724
"508",526,225.95,0,1,0,0.586206896551724
"509",526,314.51,1,1,0,0.586206896551724
"510",526,410.8,1,1,0,0.586206896551724
"511",526,306.03,0,1,0,0.586206896551724
"512",526,388.86,1,1,0,0.586206896551724
"513",526,256.76,1,1,0,0.586206896551724
"514",526,293.34,1,1,0,0.586206896551724
"515",526,319.44,1,1,0,0.586206896551724
"516",526,311.93,0,1,0,0.586206896551724
"517",526,300.14,0,1,0,0.586206896551724
"518",526,326.66,1,1,0,0.586206896551724
"519",526,260.47,1,1,0,0.586206896551724
"520",526,292.32,0,1,0,0.586206896551724
"521",526,294.5,1,1,0,0.586206896551724
"522",526,356.65,1,1,0,0.586206896551724
"523",526,283.98,0,1,0,0.586206896551724
"524",526,276.68,0,1,0,0.586206896551724
"525",526,323.93,1,1,0,0.586206896551724
"526",526,301.24,0,1,0,0.586206896551724
"527",536,257.35,0,0,0,0.269230769230769
"528",536,225.57,1,0,0,0.269230769230769
"529",536,244.73,0,0,0,0.269230769230769
"530",536,222.31,0,0,0,0.269230769230769
"531",536,204.65,0,1,0,0.269230769230769
"532",536,230.44,1,0,0,0.269230769230769
"533",536,272.14,0,0,0,0.269230769230769
"534",536,210.21,0,1,0,0.269230769230769
"535",536,260.25,0,1,0,0.269230769230769
"536",536,302.97,0,1,0,0.269230769230769
"537",536,245.23,0,0,0,0.269230769230769
"538",536,247.19,1,0,0,0.269230769230769
"539",536,249.55,1,1,0,0.269230769230769
"540",536,234.65,0,0,0,0.269230769230769
"541",536,282.37,0,1,0,0.269230769230769
"542",536,252.75,0,0,0,0.269230769230769
"543",536,274.05,1,0,0,0.269230769230769
"544",536,250.41,0,1,0,0.269230769230769
"545",536,233.49,0,0,0,0.269230769230769
"546",536,187.43,0,1,0,0.269230769230769
"547",536,295.14,0,0,0,0.269230769230769
"548",536,205.98,0,0,0,0.269230769230769
"549",536,251.1,1,0,0,0.269230769230769
"550",536,239.36,1,0,0,0.269230769230769
"551",536,260.45,0,1,0,0.269230769230769
"552",536,248.49,0,1,0,0.269230769230769
"553",538,284.91,1,1,0,0.523809523809524
"554",538,262.87,0,0,0,0.523809523809524
"555",538,223.28,0,0,0,0.523809523809524
"556",538,319.66,0,1,0,0.523809523809524
"557",538,272.75,0,0,0,0.523809523809524
"558",538,298,1,0,0,0.523809523809524
"559",538,240.67,0,0,0,0.523809523809524
"560",538,267.23,1,1,0,0.523809523809524
"561",538,270.65,1,0,0,0.523809523809524
"562",538,301.75,1,1,0,0.523809523809524
"563",538,219.81,1,0,0,0.523809523809524
"564",538,193.87,0,0,0,0.523809523809524
"565",538,322.52,0,1,0,0.523809523809524
"566",538,269.12,1,0,0,0.523809523809524
"567",538,275.96,0,1,0,0.523809523809524
"568",538,325.23,1,0,0,0.523809523809524
"569",538,268.29,1,1,0,0.523809523809524
"570",538,312.73,1,1,0,0.523809523809524
"571",538,232.33,0,0,0,0.523809523809524
"572",538,205.79,0,0,0,0.523809523809524
"573",538,306.81,1,1,0,0.523809523809524
"574",566,278.41,1,0,0,0.528571428571429
"575",566,270.13,0,0,0,0.528571428571429
"576",566,198.89,1,0,0,0.528571428571429
"577",566,223.02,1,0,0,0.528571428571429
"578",566,225.53,0,0,0,0.528571428571429
"579",566,221.79,0,0,0,0.528571428571429
"580",566,222.79,0,0,0,0.528571428571429
"581",566,238.98,0,0,0,0.528571428571429
"582",566,315.87,1,1,0,0.528571428571429
"583",566,283.93,1,0,0,0.528571428571429
"584",566,231.9,1,0,0,0.528571428571429
"585",566,259.86,0,0,0,0.528571428571429
"586",566,251.8,0,0,0,0.528571428571429
"587",566,239.97,1,0,0,0.528571428571429
"588",566,271.74,0,0,0,0.528571428571429
"589",566,288.56,1,0,0,0.528571428571429
"590",566,303.01,0,0,0,0.528571428571429
"591",566,209.03,0,0,0,0.528571428571429
"592",566,264.82,0,0,0,0.528571428571429
"593",566,186.77,0,0,0,0.528571428571429
"594",566,213.34,0,0,0,0.528571428571429
"595",566,248.84,1,1,0,0.528571428571429
"596",566,233.8,0,0,0,0.528571428571429
"597",566,283.05,1,0,0,0.528571428571429
"598",566,272.37,0,0,0,0.528571428571429
"599",566,257.13,1,0,0,0.528571428571429
"600",566,269.65,0,1,0,0.528571428571429
"601",566,282.91,1,0,0,0.528571428571429
"602",566,292.56,0,0,0,0.528571428571429
"603",566,249.6,1,0,0,0.528571428571429
"604",566,228.44,0,0,0,0.528571428571429
"605",566,271.85,0,0,0,0.528571428571429
"606",566,233.16,1,0,0,0.528571428571429
"607",566,255.72,1,0,0,0.528571428571429
"608",566,268.17,1,0,0,0.528571428571429
"609",566,213.93,0,0,0,0.528571428571429
"610",566,265.17,0,0,0,0.528571428571429
"611",566,239.58,1,0,0,0.528571428571429
"612",566,241.29,0,0,0,0.528571428571429
"613",566,237.21,0,0,0,0.528571428571429
"614",566,229.34,1,0,0,0.528571428571429
"615",566,258.8,1,1,0,0.528571428571429
"616",566,247.29,1,0,0,0.528571428571429
"617",566,264.9,1,0,0,0.528571428571429
"618",566,270.36,1,0,0,0.528571428571429
"619",566,273.29,0,0,0,0.528571428571429
"620",566,257.83,1,0,0,0.528571428571429
"621",566,275.22,1,1,0,0.528571428571429
"622",566,231.52,0,1,0,0.528571428571429
"623",566,221.41,1,1,0,0.528571428571429
"624",566,253.76,1,0,0,0.528571428571429
